index,text,chapter,offensive
17,"On the roof of this little house directly before us, in which John ""makee washee, washee,"" we see squatted three coolies in the characteristic position of the lower classes, not only of China, but of many other Oriental countries.",1,1
18,"If the classification of men were made on the same plan as that of birds by ornithologists, these fellows would be styled perchers; for, whether eating, smoking, resting, or in social confab, they are always in this couchant and ungraceful pose.",1,0
19,"We can see three large, new buildings on the quay, facing the harbor; the farthest of those buildings was a place of much importance during the Spanish-American war.",1,0
20,"It is the Cable building, and it was to that place that all war dispatches were brought for transmission after the cable was cut in the bay of Manila.",1,0
21,"We shall go ashore in a sampan, most likely sculled by a Chinese mother with a babe tied at her back.",1,0
22,We shall land near those same buildings and follow a well-paved street toward the mountain side.,1,0
23,"The second street we pass, Queen's Road, the chief thoroughfare, is almost impassable at times, so full is it with darting jinrikishas and sedan chairs, borne by chair coolies.",1,0
24,"We ascend the mountain slope along beautiful walks and through botanical gardens embowered in every species of tropical palm and tree-fern, and past well kept lawns studded with bright flower beds, until we have reached an elevation of nearly a thousand feet somewhat farther to the left than we can see, when we turn about and from our elevated viewpoint look back in this direction upon the busiest and most beautiful harbor of the Orient.",1,0
25,"This new position is given on the map of Hongkong and vicinity by the two red lines that branch north from the island, each having the number 2 at its end.",1,0
26,"Now we obtain our first sight of the main-land of China, but scarcely yet do we see Chinese territory, for all that portion of the mainland now within our view is under the British flag, England having in recent years leased for a period of ninety-nine years (which an Englishman knows means forever) a peninsula embracing many square miles of territory, and extending many miles beyond those rocky mountains.",2,0
27,The military and naval defenses of Hongkong would be quite insecure unless England held adjacent lands on the mainland shore before us.,2,0
28,To the right and to the left of those bold barren mountains are sheltered bays from which a foreign fleet with modern guns could hurl monstrous projectiles to the very spot on which we stand.,2,0
29,"Mirs Bay, that memorable retreat of Admiral Dewey, when compelled by the enforcement of England's neutrality to leave the port of Hongkong, is only ten miles away, just behind those mountains to the right.",2,0
30,"If we now look down to the harbor before us we may see, quite to the right and farthest away, the long black cargo ship on which we stood when we obtained our first view, and a little nearer we see a large white mastless hull roofed over and anchored fore and aft;",2,0
31,"that is a naval receiving ship of the station, to which naval men and officers are brought when transfers are to be made.",2,0
32,"A little nearer we see a long, rakish, crouching, demoniacal looking craft with a skulking lowness in the water.",2,0
33,In the center of our field of vision we see a large white ship with three funnels; her lines indicate other purposes than the pursuit of commerce.,2,0
34,"Our field of vision embraces only a narrow space across the channel; throughout its full length there are seldom fewer than fifteen or twenty of these grim arbiters anchored in this focus of Oriental commerce, and they are mostly English.",2,0
35,"Across the harbor immediately before us, and to the right of the projecting headland, are situated the city and harbor of Kowloon, at which are dry docks that will accommodate the largest warships.",2,0
36,"We can faintly see the docks across that small bay point of land, to the right of the city.",2,0
37,"It was there that several of the Spanish warships destroyed by our fleet in Manila Bay were taken for reconstruction under the supervision of the brave hero of the ""Merrimac,"" Lieutenant Hobson.",2,0
38,"Vast storehouses, or ""godowns"" as they are named in the East, to accommodate transshipment, are ranged near the piers.",2,0
39,"It is estimated that the actual trade of the European colony, exclusive of the cargoes which pass through this port without breaking bulk, is over 100,000,000 pounds per annum.",2,0
40,"Many passenger steamers for Europe and America coal and embark passengers from the docks at Kowloon; but the boats of the Pacific Mail, the Canadian Pacific and most of the great lines for Europe receive and discharge their cargoes and embark and debark passengers at their anchorage in the harbor, which extends a mile or more on either hand in the bay between us and the opposite shore.",2,0
41,"The harbor front at Kowloon presents a busy scene; rail-trucks are constantly thundering back and forth between the long piers and the godowns, coolies, in long lines, waddling under heavy loads carried on bamboo poles, pass to and fro uttering a weird, rhythmical cry which they think helps to dispel a consciousness of physical burden.",2,0
42,"At frequent intervals small steam ferry-boats ply between Hongkong and Kowloon, carrying first-class passengers at five-cent fares and second-class at half that amount.",2,0
43,"I must remind you, however, that the busy commercial port we see across the bay is not the native city of Kowloon.",2,0
44,A water-front embracing about three square miles was here added to the colony of Hongkong thirty-five years ago.,2,0
45,A few miles out among those low hills a granite bowlder marks the place of the surrender of the last of the Taipings.,2,0
46,The native city of the same name is hidden among the low hills three miles distant and a little to our right.,2,-1
47,The native Kowloon is a typical old Chinese city of low onestory buildings with tile roofs and surrounded by a dilapidated brick wall.,2,0
48,"but beyond are many fertile and well-cultivated valleys producing rice, sugar-cane, sweet potatoes, garden fruits and vegetables.",2,0
49,"In some portions of this peninsula that curious nut or fruit, sometimes seen in our markets, called the lichee, is abundantly produced.",2,0
50,"Along that mountain range to the left, distinctly visible from positions near us, is a long line of excavation that shows the beginning of a railroad that is to connect Hongkong and Canton.",2,0
51,"When we looked at Hongkong from the ship your attention was called to three buildings, one containing the cable office; those buildings are again before us, down by the harbor.",2,0
52,"A little further to the left, just to the right of the tree before us, and about half way to the Cable building, is St. John's Protestant Cathedral, a pretty building erected over fifty years ago, with a seating capacity for eight hundred.",2,0
53,"And below us to the left of the tree we see the spire of the Union Church, erected two years before the former and seating about five hundred people.",2,0
54,"Much encouragement has been given in that direction in Hongkong, and the Chinese inhabitants are quite alive to the importance of education.",2,0
55,When approaching the schoolhouse I was amazed at the great volume of vocal noise proceeding from within the schoolroom.,2,0
56,"I asked the teacher, who spoke intelligible English, if Chinese pupils always study in this fashion.",2,0
57,"He replied that ""Chinamen believe study muchee loud remember more better.""",2,1
58,"This is a thought for the teacher who is fond of hearing a ""pin drop,"" and a plea for the boy who isn't.",2,0
59,"I do not now remember whether his back presentation was from choice or necessity, because sometimes the lower classes can be induced to present their backs to the camera when vast sums of money would not induce them to face that dire instrument of evil, believing that when their faces are photographed a part of their identity is forever lost to them, and this becomes a serious matter in their ancestral worship.",2,1
60,"We shall return again to the harbor, pass along the waterfront to the left for a half-mile, and board a steamer for Canton, distant about seventy-five miles.",2,0
61,"After landing at Canton we shall go a short distance above the landingplace to the Imperial Custom House, from the roof of which we shall look back down the river over the route from Hongkong.",2,0
62,"Let us turn to the special map of Canton, Map No. 4, where we find our position and field of vision shown by the red lines which start from near the river and branch toward the right.",2,0
63,"Two steamers of this class, besides several other boats that carry freight and a few passengers, ply daily between Canton and Hongkong.",3,0
64,These side-wheel boats are of European construction and are quite similar to those that ply between New York and Albany on the Hudson River.,3,0
65,"They have accommodations for first-class European passengers and a separate accommodation for first-class native passengers, besides an entire lower deck for the second-class Chinese, who are carried between the two ports at fifty-cent fares; first-class natives are carried for one dollar, while European travellers are charged at the civilized rate of eight dollars for the same short passage.",3,0
66,"We are looking due east, and the water before us is only one branch of the Canton or Pearl River.",3,0
67,"The land on the right of the steamer is an island five or six miles long, and beyond it is another broad affluent of the Canton River.",3,0
68,"That island on the right bank is densely populated and forms an important suburb to the city of Canton, which lies on the north bank and extends several miles in every direction from our point of view.",3,0
69,The scene before us is one of the most interesting features of the myriad life of China's greatest commercial city.,3,0
70,"As far as our sight can reach we see boats; these boats are homes in which millions of human beings have been born, have lived and have died; and in many cases, without ever having set foot on land.",3,0
71,It has been estimated that in these floating homes from two hundred and fifty to four hundred thousand lives are daily rising and falling with the tide.,3,0
72,"The inhabitants of these floating dwellings are called Tankia, which means boat-dwellers; their ancestors were also amphibians.",3,0
73,"It has been estimated that eighty-five thousand of these boats are about Canton and that, of this number, forty thousand are permanently located.",3,0
74,"On many of them pigs and chickens are reared, and in many cases when the smallness of the boat does not afford deck space for such stock, a box or cage is suspended from the stern to serve as a pig-pen or a chickencoop.",3,0
75,"For centuries the Chinese have used boats for dwellings, and having a free anchorage their building sites cost nothing.",3,0
76,"A house for twenty dollars and a free site surpass all Western residential economics; but for one hundred dollars a boat almost luxurious in appointments, according to the Tankia's order of life, can be obtained.",3,0
77,A thatch of palm leaves or a cover of matting over a portion of each boat protects the occupants from sun and rain and serves as an eating and sleeping place.,3,0
78,"We speak of limitation of space, as things ""in a nutshell,"" but here in the small compass of a fifteen-foot boat there are births, deaths and funerals there are henneries and pig-pens, and even flower-gardening, particularly on the larger boats, where considerable space in the bow is set apart for flower-pots.",3,0
79,"Sometimes European travellers who wish to make a prolonged sojourn in the vicinity of Canton, and do not care to pay the high prices charged in the one hotel, hire a comfortable house-boat which can be had for one dollar per day.",3,0
80,"In that case the native owners occupy a small space in the bow, where all cooking is done for the traveller without extra cost, with the additional advantage of free transportation to any point on the river.",3,0
81,"One naturally wonders how this swarming population of river-dwellers is maintained, and the answer is chiefly by transporting merchandise and by carrying passengers from place to place.",3,0
82,In some cases daughters go ashore to work in factories as girls do in other countries; but the factory girl's annual income in China would scarcely buy an American girl's hat.,3,0
83,"if you were on board the steamer you would find many of these filled with water and alive with large and beautiful fish for the Hongkong market, where they are delivered alive.",3,-1
84,Down the river beyond the steamer and before reaching that dark group of buildings we can see several ranges of larger boats extending from mid-stream toward the shore on the left.,3,0
85,"From those boats called ""flower-boats"" we shall look toward the city, on our left here.",3,0
86,We stand on the upper deck or roof of one of these boats and look northward toward the shore and over the city.,4,0
87,"They are often gorgeously furnished within; the woodwork is carved; the walls are hung with pictures and embroideries; wall mirrors duplicate all objects of ornamentation; the furniture is inlaid with mother-of-pearl; flowers, both natural and artificial, furnish an abundance of color; and every night these popular resorts are filled with seekers after pleasure and recreation.",4,0
88,"The opium smoker with his seductive pipe comes here to dispel his cares with this insidious narcotic; the gambler comes to these flower-boats to try his fortune at fan-tan or other Chinese games, for gambling is one of China's national vices.",4,0
89,"Although the Chinese are an industrious race, they often have an excess of leisure, and too much leisure always creates a desire for a pastime or for pleasure resorts.",4,1
90,"As our idlers repair to a saloon or a summer-garden, so the Chinese idlers, as well as Chinese professional chance men, come to these flower-boats to win at cards, at dominoes, or dice.",4,0
91,"The passion for gambling is universal, and the stereotyped invitation ""Buy a chance and get rich,"" is heard everywhere.",4,0
92,"So the gaudy interiors of these floating dens of vice are nightly filled with sharpers, with idlers, with gamblers and desperate characters.",4,0
93,Most travellers and tourists who come to Canton seldom spend more than two or three days in visiting the various places of interest.,4,0
94,"There is so much that is repellent besides the exorbitant prices of poor hotels that a single day may satisfy the sightseer; naturally, therefore, there is a set number of places to be visited in a limited time, and one of these places is the flower-boats.",4,0
95,"These boats cost from five hundred to a thousand dollars, and are generally owned by the men in charge of them.",4,0
96,"At night these boats are illuminated brilliantly with lamps and lanterns, and patrons come and go by boats and along those projecting bows.",4,0
97,"Then they are not safe places to visit unless accompanied by a guide; but during the day they are vacated except by the owners and their families whom we see engaged in their daily routine of putting their boats in order for another night's round of feasting, gambling and dissipation.",4,0
98,"A little beyond, a dame with her back toward us is delivering the morning gossip to her neighbors on the next boat, while her liege by her side, with ""turned-up pantaloons,"" is on daily avocations bent.",4,0
99,"Beyond the small house-boat two men in characteristic crouching pose are plainly watching the ""foreign devils"" and commenting thereon in a foul sarcasm only possible among Chinese.",4,0
100,"With us ""Time is money,"" with the Chinese time is of little account, but space is money.",4,0
101,"Although space is valuable and upper space is free, yet the Chinese do not evidently take to ""sky-scrapers,"" as you can judge from the single story buildings everywhere.",4,0
102,"Pawn shops, however, constitute a curious exception to the rule of low buildings, two of which you may see in the distance.",4,0
103,These pawn shops form landmarks in Chinese cities and may be seen at great distances towering above all other buildings.,4,0
104,"Just before these flower-boats we have a good example of a small house-boat-its shape, its roof, and a projection over the stern, where, as I have already stated, are placed the pig-box and the hen-coop.",4,0
105,"There is not much choice, however, for the porcine member in one case has more space, in the other better ventilation.",4,0
106,"You see those garments hung out to dry on poles and near them, also on poles, objects that might be mistaken for sheepskins.",4,-1
107,"Notice now a short distance over in the city an object which in other countries would be taken for a flag-pole, with an arrangement resembling the cross trees on a ship's mast.",4,0
108,"It marks the residence of a mandarin, and it is often a convenience when travelling in China to know just where the mandarin, in a town or village, lives.",4,0
109,"We are here looking almost due north, and by following a northerly direction for several miles we shall find ourselves next standing on the northern side of the city and looking almost directly towards the spot we now occupy.",4,0
110,The red lines starting from the number 5 near the top of Map No. 4 and toward the southeast show our position and field of vision.,4,0
111,"We are now standing on a low hill on the northern side of the city with the city wall just behind us, and looking a little east of south toward the Canton River, which we see in the distance.",5,0
112,"The greatest commercial emporium of Asia is spread out over the plain before us, extending eastward and westward for many miles.",5,0
113,"That vast hive of human life is encompassed by a high brick wall seven miles in circumference, and within that wall a million human beings are toiling for a livelihood.",5,0
114,Almost an equal number have outgrown the limits of the ancient wall and spread out into the suburbs and across the river.,5,0
115,"A distant panoramic view of any city always leaves much for the imagination, just as when we look at the exterior of a single house, the interior life is for the imagination.",5,0
116,"But you notice here that, although the Chinese are innocent of the expensive æstheticism of paint, they are not ignorant of the use of whitewash.",5,0
117,We can see no church spires; but there are one hundred and twenty temples down in that great sea of lowly homes.,5,0
118,"People are carried from place to place through the narrow winding streets in sedan-chairs, and it is probably not unsafe with respect to truth to say that not one wheeled vehicle could be found within the entire range of our vision.",5,0
119,"If by some power the real inwardness of all the social and industrial life in this panorama could be disclosed to us, what a marvelous scene we should behold!",5,0
120,"There are palaces after a fashion; there are hospitals; there are arsenals; there are ancestral halls; there are prisons; there is the imperial mint; there is the execution ground where beheading is done; there are scores of markets, including a cat-market and a dog-market, where these domestic friends are sold for food.",5,0
121,"There are seventeen thousand people engaged in silk weaving; and not in great factories, but in small dingy homes where handmade bamboo looms turn out the delicate fabrics with which our stores are filled, and those magnificent brocades which charm our fancies.",5,0
122,"There are fifty thousand people making cloth; and there are over four thousand shoemakers; there are great numbers of wood-carvers, stonecutters and workers in iron, brass, ivory and silver.",5,0
123,"It is a world of ceaseless industry; it is likewise a world of vice, as I have already intimated, and has acquired an infamous celebrity for profligacy and corruption; it contains the greatest number of the worst specimens that can be found in the empire.",5,1
124,"A retiring viceroy once expressed himself thus about Canton: ""Deceit and falsehood prevail everywhere in this city, in all ranks and in all places.",5,0
125,We must now turn our attention in the opposite direction; we shall step upon the wall and look northwest.,5,0
126,We see a country where only the low land is cultivated and where the hills and mountains are without timber except for an occasional clump of trees.,6,0
127,The area of valuable land occupied by graves has long been a serious curtailment of agricultural resources.,6,0
128,"Here he is evidently a truck gardener for the great market near at hand; you see how carefully the ground is ridged; how the streamlet from the hillside is carried around the walled compound and along the slope at a proper elevation for irrigating his plot of ground; that it is continued along the base of the hill to his neighbor beyond, where it again does its work of irrigation, and so down the plain in the benevolent perpetuity of Tennyson's ""Brook.""",6,0
129,They built the greatest wall in the world-a barrier to repel the Tartars-and how long before that period they were wall-builders we do not know.,6,0
130,"We know that from time to time to the present they have been defending their cities by prodigious fortifications; that their homes within walled cities are also protected by walls; that even their country houses are encompassed in the same way; that our missionaries in China imitate the wall-building instinct of the natives and encompass their compounds with high, exclusive and defensive walls.",6,0
131,Now notice the home of that evidently well-to-do gardener-how carefully a wall incloses and defends all within; yet it must be confessed that these ramparts would scarcely be a protection against Western thieves.,6,0
132,"Let us now turn about, pass through the heart of the great city and look into one of the narrow congested thoroughfares.",6,-1
133,"We are standing on a foot-bridge that enables night. policemen to pass from roof to roof, and are looking down into Shappat-po Street, one of the principal business streets, especially for merchants who deal in European goods.",7,0
134,"Another street near by called Hog Lane is more intelligible to the Anglo-Saxon, and would scarcely be a misnomer if applied to any of the streets, so narrow and dirty are they all.",7,1
135,"I am sure it will not diminish your interest in the scene before us should I state how difficult it is to photograph a dark, narrow, crowded thoroughfare in Canton.",7,0
136,"Before finding this street, which is more open and better lighted than most streets, I had made three different unsuccessful attempts on different days to obtain a street scene.",7,-1
137,"I had endeavored to hire policemen to stop, for a few moments only, the passing throng, until I could set my camera for a time exposure, as all streets are too dark for instantaneous work.",7,-1
138,"In this place I found an American Mission reading-room, from the roof of which I reached the bridge on which we stand, where some light penetrates into the street below.",7,0
139,"A little farther along we can see another foot-bridge over this street, similar to the one on which we stand.",7,0
140,The buildings are low and the streets are closed by gates or barricades at frequent distances; so that thieves can most readily reach the shops and pass from place to place along the roofs.,7,0
141,A further reason for the bridges is that much industrial work is done on the roofs; clothes are here hung out to dry; frames are erected everywhere for the coloring and drying of cloth and yarn.,7,0
142,"You will perceive a halt among those passers below; they have plainly spied the operator, but do not suspect that the eyes of a stereoscopic camera ever look down into that closely sheltered chasm.",7,0
143,"The second, in the center of the street, gives the owner's name, Tai Chung Loong, followed by words which in English would be Sewing machine manufactured goods.",7,0
144,"Another to Wing Fong Lau, who, according to his sign, is a dealer in paper fans, panels and decorated pictures.",7,0
145,"Do you see the one horizontal board both in English and Chinese which tells us that artificial speech and song have a fascination for the ""heathen Chinee""?",7,0
146,"Should we go down and enter one of those stores, the doorway would soon be blocked by men and boys (not women, because very few are seen on the streets) who would stop and glower at us as we might stop and gaze curiously at a wild man from some strange land.",7,0
147,"The shopkeeper would not importune us to buy, neither would he attempt to repel the gaping crowd that fills his doorway; he would stare at us himself, smoke his pipe and keep his seat in statuesque stolidity and scornful indifference, as much as to say: ""Not dependent on the patronage of foreign-devils.'""",7,0
148,"We have looked at the dingy house-boats and over a wilderness of paintless houses, and now, lest I should lead you to think that the Chinaman has no appreciation of architecture, no love of beauty and no artistic development, we will descend, enter a sedan-chair and be carried and jostled through lanes and byways for some distance, and then enter the court of one of the most beautiful buildings in Canton.",7,1
149,"Many believe that nothing has contributed more to the vastness and perpetuity of the Chinese Empire than their practical recognition of a commandment promulgated both by Moses and Confucius, the fifth in the Mosaic decalogue: ""Honor thy father and thy mother that thy days may be long upon the land which the Lord thy God giveth thee.""",8,0
150,"According to Confucius, in his ""Filial Piety Classic,"" ""There are three thousand crimes to which one or the other of the five kinds of punishments is attached as a penalty, and of those no one is greater than disobedience to parents"";",8,0
151,It is not at all identical with what we look upon as children's obedience and respect for their parents in Western countries.,8,0
152,"The meaning would be better expressed if the so-called filial piety were termed veneration for ancestors, both immediate and remote, which, of course, should naturally begin with reverence for parents living.",8,0
153,"To honor and commemorate the family line, therefore, shrines or temples are erected in which memorial tablets are placed to different members of the clan or family.",8,0
154,"This temple or ancestral hall before us has been erected, and is maintained by members of the Chun Clan, which has existed for some sixty generations.",8,0
155,"The Chun family were the founders and are still the proprietors of the Chun-li-Chai, the house name of an old medicine firm which has been in existence for a thousand years, and of which there are two establishments still to be found.",8,0
156,"This beautiful ancestral temple is a shrine at which all members of the Chun Clan, from the humblest to the highest, can place their memorial tablets for those who have gone before.",8,0
157,"The second pavilion is for members who can afford only one hundred taels, a third for those who are only able to pay forty taels.",8,0
158,"Considerable time could be spent in examining the wonderful carving and grotesque decorative art in this charming structure, which is considered the finest in this part of the Empire.",8,0
159,"By a handful of ""cash"" (a small copper coin, seventeen of which make one cent) I induced those three juvenile Celestials to stand where you see them;",8,0
160,"just out of sight at our left, the court is well filled with gaping onlookers, who were kept back with great difficulty.",8,0
161,"The ready laugh usually denotes a genial nature, which is often lacking in the Chinese people.",8,1
162,Everywhere one may see very small boys and girls carrying and caring for younger brothers and sisters;,8,0
163,"We have had a single glance into one court of this beautiful Ancestral Hall of Chun-Ka-Chie and will now, followed by a hundred gazing onlookers, turn out into the narrow street again and wend our way toward the west to another temple, old and dingy, but which constitutes one of the chief attractions to all who visit Canton.",8,0
164,"This temple was founded 500 A. D., or about fourteen hundred years ago, and is called the Flowery Forest Monastery, or Temple of Five Hundred Genii.",9,0
165,At the early date of its establishment its surroundings probably made the former rural name appropriate.,9,0
166,"The exterior consists of a series of low, grimy buildings quite unattractive in appearance; so we lose little in confining ourselves to this view within where you can see a phalanx of the celebrated so-called Genii from which the temple takes the latter name.",9,0
167,These really are statues representing noteworthy disciples of Buddha; they are familiarly called Josses or idols.,9,0
168,"This being a Buddhistic shrine, let me, while we look at these odd figures, tell you briefly who Buddha was; you may easily know much more about this famous character than I do myself, yet it may be otherwise with some.",9,0
169,"I have visited many of the most noted Buddhistic temples in India, Burmah and Ceylon, and have often been surprised to find how much error exists with reference to Buddhism.",9,0
170,"For instance, many do not know that there are more Buddhists than Christians; that about one-third of the population of the world are Buddhists; that Buddhism is numerically the religion of the world; that two-thirds of the population of China are followers of Gautama, or Buddha.",9,0
171,Yet till the middle of this century there was nothing but vague notion and conjecture in Europe or America respecting the nature and origin of this world religion.,9,0
172,"There are eminent scholars who doubt that such a person ever existed, and believe that Buddha was only a metaphorical figment; but Oriental authorities have no doubt as to the historical reality of a personal Buddha.",9,0
173,"Many are inclined to laugh at these Josses or so-called idols, and suppose the Chinese followers of Buddha worship them; some of the more ignorant may do so; but intelligent followers do not worship these statues.",9,0
174,"You see small sticks, called Joss-sticks, in those pots; these are burned before the statues, and this naturally leads one to believe this is idol worship.",9,0
175,"Buddhists offer flowers and oil and make reverence before the statues of Buddha, his relics, and the monuments containing them; yes, these things are done and offered as before stated, but not in the spirit of an idolater.",9,0
176,We see essentially the same thing in our Christian religion; great and worthy men in the church have been canonized and are called saints.,9,0
177,"In the same way, these statues representing noteworthy examples of Buddhism are honored by the followers of that great teacher, and the honor shown in some cases may resemble worship.",9,0
178,"They are intended, however, only to remind the disciple of those who have pointed the way to Nirvana, as they call a state of deliverance from the ills of the present life.",9,0
179,"More interesting even than these figures, however, are the teachings of Buddha, the tenets and principles of life that have won the faith and following of more than a third of the human race, a full account of which would require volumes; but here I can only mention a few cardinal points in his life and teachings, taken from a carefully compiled Buddhist catechism:",9,0
180,"(1) Buddha was not a God, but a man born at Kapilavastu, one hundred miles northeast of Benares, in India, 623 B. C.",9,0
181,"(2) Buddha is not his real name, but the name of a condition or state of mind; it means enlightened, or he who has the perfect wisdom.",9,0
182,"His father was King Suddhodana; his mother, Queen Maya, who ruled over the Sakyas, an Aryan tribe.",9,0
183,"(4) Buddha was born and reared in a splendid palace, and when he was but a child he seemed to understand all arts and sciences, almost without study; but he did not become a Buddha in his splendid palace; he saw the vanity and sufferings of human life and, in order to discover the cause of them and how to escape from them, he left his beautiful palaces, his beloved wife and only son, and retired to the solitude of the jungle, where he spent several years in meditation and fasting.",9,0
184,At one time he was at the point of death from starvation; after years of struggle he decided that the higher knowledge could never be attained by fasting or penance.,9,0
185,"He took food, repaired to an asvattha tree and determined not to leave the spot till he attained Buddhaship.",9,0
186,"Just before the dawn of the next day, the light of supreme knowledge was revealed to him and he saw at once the cause of all human suffering and the means of escape.",9,0
187,"(5) Of things that cause sorrow, he gives: Birth, growth, decay, illness, death, separation from things we love, hating what cannot be avoided, craving for what cannot be obtained.",9,0
188,The parts of this path are: (1) Right Belief; (2) Right Thought; (3) Right Speech; (4) Right Doctrine; (5) Right Means of Living; (6) Right Endeavor; (7) Right Memory; (8) Right Meditation.,9,0
189,"Buddha has summed up his whole religion in one verse: ""To cease from all sin, To get virtue, To cleanse one's own heart, This is the religion of the Buddhists.""",9,0
190,"The following are five precepts imposed on the laity, in general: (1) I observe the precept to abstain from destroying the life of any being.",9,0
191,(5) I observe the precept to abstain from using intoxicating liquors and drugs that tend to procrastination (stupefy).,9,0
192,"Yes, the Buddhist believes, according to Alcott's interpretation of their philosophy, that ""The unsatisfied desire for things that belong to the state of personal existence in the material world causes us to be reborn.",9,0
193,"This unquenched thirst for physical existence is a force, and has a creative power in itself, so strong that it draws the being back into mundane life.",9,0
194,"Science teaches that man is the result of a law of development, from an imperfect and a lower to a higher and a perfect condition which is called evolution.""",9,0
195,"Now, with this brief résumé of some salient features of this world-wide philosophy, we will go on with our inspection of this line of figures.",9,0
196,"You see that these statues represent Mongolianized types of Buddha as represented in India; they have the drooping, looped ears; they all have the sitting posture; their heads are shaved after the fashion of Buddhist priests the world over; they wear the flowing, loose robe of cotton, dyed yellow; they have Chinese shoes; no two are in the same pose.",9,0
197,"Sometimes I think the great Buddha must have been lazy; I have scarcely, if ever, seen a statue in any way typical of him.",9,0
198,"These are certainly a goodnatured lot of worthies, and some of them must be guilty of telling a good story, for, from one end of the line to the other, they wear a pleasant smile.",9,1
199,"I told you at the Ancestral Hall that a smile is a rare phenomenon in China, and I cannot help entertaining a mild suspicion that some slight consanguinity exists between the grinning boy at the former place and these sacerdotal figures.",9,1
200,"The interior of this temple is quadrangular, and every side of the square is flanked by double rows of figures, 51 five hundred in all, and all blackened with the smoke of incense that has been curling up before them for centuries.",9,0
201,"But we have stopped here for considerable time; let us betake ourselves hence to a great national institution, one of another type.",9,-1
202,"10. Examination Hall-Rows of Twelve Thousand Cells, where the Ku-Yan Triennial Examinations are held, Canton.",10,0
203,"You will scarcely think it possible that those low, shedlike structures, hardly more imposing in appearance than the cattle-pens in some city stockyards, are the halls in which applicants for examination for degrees that nearly correspond with our college degrees of Bachelor of Arts and Master of Arts are held.",10,0
204,"Yes, once in three years learned examiners come from Pekin to test here the literary merit of those who aim to fill government offices or to obtain honorary degrees.",10,0
205,"The government of China has encouraged the higher education of the few by dispensing state offices and honors only to scholars, and the distribution is based on this system of elaborate examinations.",10,0
206,As far as it goes it is an equitable system of civil service; for the poorest may rise to the highest rank next to the Emperor.,10,0
207,China is the only country in the world in which titles of honor for learning are higher and more lucrative than those conferred on military officials.,10,0
208,The preparation for these triennial examinations is very unlike our preparation for a degree in college; it consists largely in a cramming with obsolete Confucian classics.,10,0
209,The applicant most likely to secure a degree is the one who has memorized and can best quote the four sacred books and the five classics of Confucius.,10,-1
210,"Examinations for the first degree are held in provincial towns throughout the Empire; for the second, in each capital of the eighteen provinces.",10,0
211,Those for the third are held in Pekin; the final examination gives the successful candidate a membership in the Imperial Academy.,10,0
212,"Every male, without respect to age or position, is eligible, and should a degree be obtained, even though no government appointment be the result, the possessor is not only honored in his community, but enjoys an immunity from the baser penalties of the law, such as bamboo flagellations, which are inflicted for many trivial offenses.",10,0
213,The examinations are very rigorous and often only a very small number out of the thousands of applicants carry away the honors of a degree.,10,0
214,"Women are not eligible in these examinations; indeed, they can hardly be considered eligible to any education whatever, as immemorial usage has placed them on a lamentable plane of inferiority, as is exemplified by the prevalence of female infanticide.",10,0
215,The grounds of this Examination Hall cover about twenty acres and contain accommodation for twelve thousand competitors.,10,0
